id,target,word,concatenated_sentence,tfidf_score,frequency,p_value,response
age_0,Children,precious,Children are precious,63.63773398898236,10,0.0177381409704456,5
age_0,Children,fun,Children are fun,60.31169639054944,10,0.0261071152835915,2
age_0,Children,delightful,Children are delightful,56.48763812812673,11,0.0395730455111857,1
age_0,Children,happy,Children are happy,55.75551744744054,9,0.042706260785374,2
age_1,College students,dedicated,College students are dedicated,67.71944868604143,10,0.0106931915353139,2
age_2,Old people,wise,Old people are wise,184.0241854611237,36,9.401582278093964e-16,1
age_2,Old people,aged,Old people are aged,153.09760528784756,19,5.6982182195733286e-11,1
disability_55,Old people,gray,Old people are gray,152.0754301448534,18,7.895865829123863e-11,2
age_2,Old people,old,Old people are old,140.78509712753754,19,2.468959273959227e-09,2
age_2,Old people,elderly,Old people are elderly,134.64197920113887,20,1.4207409382949691e-08,1
age_2,Old people,ripe,Old people are ripe,123.10554772103958,18,3.007885646667919e-07,2
age_2,Old people,traditional,Old people are traditional,109.6299751508784,19,7.244407802414488e-06,1
age_2,Old people,zen,Old people are zen,99.74482936268802,15,5.756166626944227e-05,3
age_2,Old people,clever,Old people are clever,81.47023022329742,16,0.0014945932120467,5
age_2,Old people,very,Old people are very,79.43833341835298,18,0.0020512146286342,1
age_2,Old people,usual,Old people are usual,72.56070209976815,19,0.0056032941804543,2
age_2,Old people,healthy,Old people are healthy,71.43500930586234,12,0.0065410755087395,2
age_415,Old people,senile,Old people are senile,67.46753352444873,7,0.0110437572271543,2
age_2,Old people,lazy,Old people are lazy,66.42486801367257,10,0.0126031467480642,3
age_2,Old people,blind,Old people are blind,64.59668979041076,9,0.0157994586329078,4
age_2,Old people,kind,Old people are kind,61.44593193810174,15,0.0229428543103876,1
age_415,Old people,perish,Old people are perish,56.32142787984205,6,0.0402674456139923,3
age_2,Old people,quiet,Old people are quiet,55.99844667635206,13,0.0416451020604539,5
disability_468,Old people,mature,Old people are mature,54.760503757980985,7,0.047282819908598,2
age_3,Young people,energetic,Young people are energetic,70.7326971745971,10,0.0071941547608293,1
age_3,Young people,dynamic,Young people are dynamic,62.75861526575356,10,0.0196902540269706,1
age_3,Young people,brilliant,Young people are brilliant,58.347362380683066,10,0.0324480786271684,4
age_4,Bullied people,fragile,Bullied people are fragile,75.23116805174642,11,0.0038394551547668,4
age_4,Bullied people,resilient,Bullied people are resilient,66.92202719286688,8,0.0118373046795047,3
age_4,Bullied people,defeated,Bullied people are defeated,65.70833252648238,7,0.0137822076152417,1
age_4,Bullied people,sensitive,Bullied people are sensitive,61.70342570454936,8,0.0222713583457389,1
age_417,Bullied people,insulted,Bullied people are insulted,57.81936317829575,8,0.0343541931106024,1
age_5,Cougars,carnivores,Cougars are carnivores,222.7570591435804,24,4.184657617308361e-23,1
age_5,Cougars,cubs,Cougars are cubs,111.37852957179015,12,4.906993944558832e-06,3
age_5,Cougars,crazy,Cougars are crazy,83.26032685955079,10,0.0011223904583544,1
age_831,Cougars,cruel,Cougars are cruel,80.50564704925172,9,0.0017389218563308,1
age_418,Cougars,critters,Cougars are critters,78.33895803798805,8,0.0024253165636358,4
age_5,Cougars,jungle,Cougars are jungle,69.11752195848096,8,0.0089184879804468,1
age_5,Cougars,coyote,Cougars are coyote,59.84814786925476,6,0.0275014840966464,1
age_5,Cougars,wild,Cougars are wild,57.81936317829575,8,0.0343541931106024,1
age_5,Cougars,big,Cougars are big,55.20344015288952,10,0.045199185014441,1
age_6,Daughters,cherished,Daughters are cherished,145.0679176738046,20,6.924279081491783e-10,1
age_6,Daughters,precious,Daughters are precious,140.0030147757612,22,3.0999967951003663e-09,1
age_6,Daughters,best,Daughters are best,105.15351960614746,19,1.9031166572511512e-05,1
age_6,Daughters,angel,Daughters are angel,102.63824700821412,13,3.210322972591826e-05,5
age_6,Daughters,delightful,Daughters are delightful,92.43431693693464,18,0.0002315168510836,2
age_6,Daughters,only,Daughters are only,87.05869603995014,17,0.0005971654258202,1
gender_91,Daughters,the,Daughters are the,79.70984161640708,12,0.00196728045401,2
gender_91,Daughters,favorite,Daughters are favorite,79.303864515631,9,0.0020939763104549,3
age_6,Daughters,very,Daughters are very,75.02509267288893,17,0.0039552761985932,1
gender_91,Daughters,nearest,Daughters are nearest,74.39560993424966,12,0.0043286900646465,4
